gene_name,gene_synonym
AL513285.1,nan
PGAM1P11,nan
OR6C5P,nan
AL133467.2,nan
TP53TG3E,nan
AC092604.1,nan
AC095038.1,nan
PLEKHS1,C10orf81|FLJ23537|bA211N11.2
AC020765.3,nan
MIR331,MIRN331|hsa-mir-331
AL445307.1,nan
AC096775.1,nan
GAS8,GAS11|DRC4
AC079030.1,nan
AC007881.4,nan
ARMT1,FLJ12910|C6orf211
AC023510.1,nan
LINC01168,nan
NF1P3,NF1L1
AC091953.5,nan
AC092170.1,nan
AL355338.1,nan
KRBA2,nan
AC004263.2,nan
AL391646.1,nan
HSPE1-MOB4,nan
GLA,GALA
MAPK14,Mxi2|CSPB1|p38|CSBP1|PRKM15|CSBP2|PRKM14
AP003718.1,nan
TRBD1,TCRBD1
RNU4ATAC5P,nan
AC133041.2,nan
AC103810.5,nan
INSL6,RIF1
AL512310.4,nan
AGRN,AGRIN
PPTC7,TA-PP2C
CHST14,D4ST1|D4ST-1|HD4ST
AC114311.1,nan
PIK3C2G,nan
AC009088.2,nan
HSD17B1,MGC138140|EDHB17|EDH17B2|HSD17|SDR28C1
MIR374C,hsa-mir-374c
AF131215.5,nan
SMAD1-AS2,nan
KRT7-AS,nan
RN7SL361P,nan
GULOP,GULO|scurvy
POLR2G,RPB7|hsRPB7|hRPB19
AC021086.1,nan
AL139405.1,nan
UFL1-AS1,nan
CRABP2,CRABP-II
CR936918.2,nan
AC000089.1,nan
AC005520.3,nan
MIR10A,hsa-mir-10a|MIRN10A
LINC01347,nan
MIR544B,hsa-mir-544b
VGLL4,KIAA0121
AC004000.1,nan
AC016705.1,nan
AGAP4,Em:AC012044.1|MRIP2|AGAP8|CTGLF5|CTGLF1
AKAP13,c-lbc|BRX|HA-3|LBC|ARHGEF13|AKAP-Lbc|PROTO-LB|Ht31
RNU6-26P,RNU6-26
AC079465.1,nan
HIVEP3,ZNF40C|SHN3|ZAS3|KIAA1555|Schnurri-3|KRC|KBP-1|KBP1|FLJ16752
AL606534.6,nan
RN7SL561P,nan
AC073091.2,nan
ASCC2,FLJ21588|DKFZp586O0223|ASC1p100
AL161713.1,nan
HAS1,HAS
RNU7-95P,nan
AC022440.1,nan
AC137768.1,nan
TBC1D29P,DKFZP434O047|TBC1D29
AL133304.2,nan
MZT1P2,nan
RNY3P16,nan
BCAS1,AIBC1|NABC1
AC092114.1,nan
AC020899.1,nan
AC087379.2,nan
AL451069.1,nan
LINC00513,AC016831.7
ZSCAN16,FLJ22191|dJ265C24.3|ZNF392|ZNF435
SNORA68,U68|RNU68|SNORA68A
AC090946.1,nan
AL035661.2,nan
MIR6083,hsa-mir-6083
KP420442.1,nan
AC243686.1,nan
DCAF7,SWAN-1|WDR68|HAN11
LINC01310,WI2-81516E3.1
GPC2,DKFZp547M109|FLJ38962|cerebroglycan
GFI1,ZNF163|GFI-1|GFI1A
CNTNAP2,Caspr2|KIAA0868|NRXN4
RCOR2,nan
AC148477.16,nan
PIK3C2A,PI3K-C2alpha
AC040914.1,nan
AC016682.1,nan
RNU6-264P,nan
ABT1P1,nan
AC023825.2,nan
LINC01341,nan
CCM2L,C20orf160|dJ310O13.5
OR7E85P,OR7E88P
ZNF658,FLJ32813|DKFZp572C163|MGC35232
EEF1B2P4,nan
MAGEB6,MAGE-B6|MAGEB6A|FLJ40242|CT3.4
OFD1P4Y,OFD1P4|OFDYP4|OFD1PY4
CEACAM4,CGM7
RNA5SP471,RN5S471
AC087286.1,nan
AL512324.3,nan
RNU6-123P,nan
AL512306.1,nan
PTTG3P,PTTG3
AC018413.1,nan
HOXB6,HOX2B|HOX2
BSX,BSX1
AC025287.2,nan
DANT1,nan
AC098592.2,nan
AC009686.2,nan
AC004069.1,nan
TRAM2-AS1,nan
AC139494.4,nan
LINC01197,nan
AC015911.11,nan
LLPHP2,nan
AC100803.7,nan
SLC36A3,tramdorin2|PAT3|TRAMD2
AC017087.1,nan
HLA-DRB2,HLA-DR2B
IGLV8-61,nan
IGDCC3,HsT18880|PUNC
PDE8B,nan
AL772161.2,nan
PLA2G2E,nan
SNORA15B-1,nan
AL627230.3,nan
RNA5SP172,RN5S172
AC004884.2,nan
AC010240.2,nan
AC004687.3,nan
RNF213,C17orf27|MYMY2|NET57|ALO17|KIAA1554|KIAA1618
HHLA3-AS1,nan
SNORD36A,RNU36A|U36a
MAPK8,PRKM8|SAPK1|JNK|JNK1
CCNI2,FLJ16793
KDM4B,KIAA0876|TDRD14B|JMJD2B
MIR516B2,hsa-mir-516b-2|hsa-mir-516-3|MIRN516-3|MIRN516B2
CALML5,CLSP
CCNH,p37|CycH|p34
CLYBL-AS1,nan
CCNYL1,FLJ40432
MTND5P21,nan
NTRK3-AS1,nan
TRIP12,TRIPC|KIAA0045|ULF
LINC02019,nan
GABARAPL3,ATG8D
TRIR,fSAP18|TERCIR|C19orf43|MGC2803
RNU6-1119P,nan
SNRPGP14,nan
CTNND2,GT24|NPRAP
AL365205.4,nan
TBCB,CKAP1|CKAPI|CG22
AC113361.1,nan
AC005741.1,nan
AL451139.1,nan
RNU6ATAC15P,nan
AC083982.1,nan
NIFKP7,MKI67IPP7
ACVR1C,ACVRLK7|ALK7
TUFM,EF-TuMT|EFTu
IRF1,MAR
KRT37,KRTHA7
MAPRE2,EB1|RP1|EB2
AC008914.1,nan
MIR4800,hsa-mir-4800
AC078817.1,nan
AC131902.2,nan
HMBS,PORC|PBGD|UPS
CKS1BP3,nan
RNU5B-2P,nan
IFNWP15,nan
IGHD4-23,IGHD423
AC015712.3,nan
TCF7,TCF-1
AC104457.2,nan
LINC01257,nan
AP003327.2,nan
TMEM199,MGC45714|VMA12|VPH2|C17orf32
LINC01971,nan
MIR548AN,hsa-mir-548an
OR51G2,nan
TRPM2-AS,TRPM2-AS1
CFAP97D2,nan
LRRC28,FLJ45242|MGC24976|FLJ34269
SUMO1,SUMO-1|GMP1|OFC10|PIC1|UBL1|SMT3C|SMT3H3
CEACAMP7,CGM14
AP003733.1,nan
RN7SL574P,nan
IGHV5-78,nan
P2RY4,P2Y4|NRU|P2P|UNR
LINC02402,ENST00000550337.1
DEFA1B,nan
AC116345.3,nan
AC009108.5,nan
ALG9,DIBD1
PVALB,D22S749
NECAB3,XB51|EFCBP3|SYTIP2|dJ63M2.5|dJ63M2.4|APBA2BP|NIP1
LINC02656,nan
OAS3,nan
TMEM258,Kud|C11orf10|Kuduk
AC093627.22,nan
LINC02018,nan
LINC00937,nan
CEACAMP5,CGM12
LAX1,FLJ20340|LAX
